Category,Section,Setting,Value,Note
User and Browser,General,Custom terms of service,<Your TOS Text>,Organisations should have User Guidance (sometimes Security Procedures or SyOPs) and this is an ideal place to reference and remind users of this [guidance](https://www.ncsc.gov.uk/collection/device-security-guidance/managing-deployed-devices/advising-end-users)
User and Browser,Sign-in Settings,Managed account as secondary account,Block addition of a managed account as secondary account (in-session),This will prevent users with multiple corporate accounts accessing them together in the same userspace. If your users hold secondary higher privileged accounts (PAW or similar) this will prevent data blending between them in a single user profile.
User and Browser,Sign-in Settings,AI feature introduction during sign-in,Do not display the AI introduction screen during sign-in
User and Browser,Sign-in Settings,Gemini introduction during sign-in,Do not display the Gemini introduction screen during sign-in
User and Browser,Enrollment,See the README for details on Enrollment
User and Browser,Enrollment Controls,Enrolment permissions,Do not allow users in this organisation to enrol new devices (or to re-enrol existing ones),See the README for details on Enrollment
User and Browser,Enrollment Controls,Initial sign-in,Require users to enroll device,If a device is already enrolled into the OU then this setting will prevent a user from accessing the device if it is not already enrolled.
User and Browser,Apps and extensions,Manifest V2 extension availability,Default browser behavior,Whilst this is the default setting it is worth noting that this should be set to the organisations requirements and there is nothing inherently insecure about Manifest V2 extensions if managed well.
User and Browser,Security,Quick unlock,Enable Quick Unlock PIN and Fingerprint. See Device Security Guidance [enterprise Authentication Policy](https://www.ncsc.gov.uk/collection/device-security-guidance/infrastructure/enterprise-authentication-policy). If enabling Ephemeral Mode this option is overridden with password/hardware token only.
User and Browser,Security,WebAuthn,Enable Quick Unlock PIN and Fingerprint. See Device Security Guidance [enterprise Authentication Policy](https://www.ncsc.gov.uk/collection/device-security-guidance/infrastructure/enterprise-authentication-policy). If enabling Ephemeral Mode this option is overridden with password/hardware token only.
User and Browser,Security,PIN auto-submit,Disable PIN Auto Submit on the lock and login Screen + User Override not allowed,This is the Google Default option however administrators may wish to allow auto-submit.
User and Browser,Incognito mode,Disallow Incognito Mode,Disallow Incognito Mode,If you are blocking users from signing into personal Google Accounts via `Sign in to secondary accounts` set this to Block. Otherwise set to allow incognito mode
User and Browser,Remote access,Enterprise remote support connections,Prevent remote support connections from enterprise admins,Organisations should review this setting as it might be appropriate for end user devices to have this enabled. We recommend disabling this for users and devices that have [higher privilege or access] (https://www.ncsc.gov.uk/collection/principles-for-secure-paws/reduce-attack-surface#section_4)
User and Browser,Content,Enabled URL-keyed anonymised data collection,Data collection is never active,Disable anonymised URL data being sent to Google for search and browsing enhancements.
User and Browser,User Experience,Developer tools,Never allow the use of built-in developer tools,There are some legitimate use-cases for developer tools but these should be permitted on an individual basis. Note that this setting controls the browser's web developer tools and not ChromeOS Developer mode.
User and Browser,User Experience,Add profiles,Disable adding new profiles,This will prevent users from adding secondary or personal accounts to their Chrome browser.
User and Browser,User Experience,Multiple sign-in access,Block multiple sign-in access,This will prevent users from adding a secondary or personal account and be able to fast switch between them.
User and Browser,User Experience,Sign in to secondary accounts,Block users from signing in to or out of secondary Google Accounts, This will remove the ability for users to access secondary work or personal accounts. Read the note settings for details
User and Browser,User Experience,Instant Tethering,Do not allow users to use Instant Tethering,Organisations should review this setting based on their allocation of mobile devices to end users but we recommend this is disabled by default and enabled by exception
User and Browser,User Experience,Disabled system features,Crosh,Administrators should review the system apps users should need. By default we recommend disabling the ChromeOS Shell (Crosh)
User and Browser,Power and Shutdown,Idle settings - Lock screen on sleep or lid close, Lock Screen, This behavior should be set by default however we are explicitly setting it
User and Browser,Hardware,External storage devices,Do not allow read and write access to external storage devices,This setting when disabled will allow an administrator to set an allow list within the OU. It is recommended to configure this setting to disable in the parent OU and consider a managed bypass list based on OU/Security Groups/Individual users dependant on how you manage your removable media.
User and Browser,Hardware,WebUSB API,Do not allow any site to request access,By default this should be set to disabled in the root OU with exceptions made via this setting (allowed URLs) and the 'WebUSB API allowed devices' device hardware allow list. 
User and Browser,Hardware,WebUSB API allowed devices,<set this per your allowed device ids>,When working with the 'WebUSB API' setting above provides a hardware list of allowed USB devices which can use the WebUSB API.
User and Browser,Hardware,Web Serial API,Do not allow any site to request serial ports via the Web Serial API,By default this should be set to disabled in the root OU with exceptions made via this setting (allowed URLs) and the 'Web Serial API allowed devices' device hardware allow list. 
User and Browser,Hardware,Web Serial API allowed devices,<set this per your allowed device ids>,When working with the 'Web Serial API' setting above provides a hardware list of allowed serial devices which can use the Web Serial API.
User and Browser,Hardware,File system read access,Do not allow sites to request read access to files and directories,By default this should be set to disabled in the root OU with exceptions made via this setting (allowed URLs). 
User and Browser,Hardware,File system write access,Do not allow sites to request write access to files and directories,By default this should be set to disabled in the root OU with exceptions made via this setting (allowed URLs). 
User and Browser,User Verification,Verified Mode,Require verified mode boot for Verified access,This setting applies to un-enrolled/BYOD devices only.
User and Browser,Chrome Safe Browsing,Safe Browsing protection,Safe Browsing is active in the standard mode + Do not allow users to override this setting,See the [Google Safe Browsing Website](https://developers.google.com/safe-browsing/) for details on safe browsing
User and Browser,Chrome Safe Browsing,Help improve Safe Browsing,Disable sending extra information to help improve Safe Browsing,This setting sends some system information and page content to Google servers for additional analysis. You should decide if this is something your organisation can permit. [Google Support on Safe-Browsing Data](https://support.google.com/chrome/answer/14225066)
User and Browser,Chrome Safe Browsing,Sites with intrusive ads,Block ads on sites with intrusive ads,Non-intrusive apps meet standards against the [Better Ads Standards](https://www.betterads.org/standards/). Whilst not a direct security control may prevent malicious advertising and give a better experience to the end user
User & Browser,Generative AI,Generative AI policy defaults, Your organisation should review it's own policies on use of Generative AI and apply these settings as it sees acceptable. See [NCSC Website](https://www.ncsc.gov.uk/guidance/ai-and-cyber-security-what-you-need-to-know) for details. 
User & Browser,Virtual machines (VMs) and developers,Linux virtual machines, Block usage for virtual machines needed to support Linux apps for users,Crostini is disabled by default in enterprise environments. When enabled it will allow a user access to an unmanaged Linux VM. See [ChromeOS](https://www.ncsc.gov.uk/collection/device-security-guidance/platform-guides/chrome-os) on NCSC Website under Crostini Apps.
User & Browser,Virtual machines (VMs) and developers,Command line access,Disable VM command line access
User & Browser,Virtual machines (VMs) and developers,Linux virtual machine backup and restore, Disable Linux virtual machine backup and restore
User & Browser,Virtual machines (VMs) and developers,Port forwarding,Do not allow users to enable and configure port forwarding into the VM container
User & Browser,Virtual machines (VMs) and developers,Android apps from untrusted sources,Prevent the user from using Android apps from untrusted sources
User & Browser,Virtual machines (VMs) and developers,SSH in terminal system app,Disable SSH in the terminal system app
User and Browser,Other settings,Chrome Sync (Chrome OS), Allow Chrome Sync + Do not allow sharing of user credentials with family members
User and Browser,Chrome management for signed-in users,Chrome management for signed-in users,Apply all user policies when users sign into Chrome and provide a managed Chrome experience,
Device Settings,Enrolment and access,Verified mode,Require verified mode boot for verified access,This setting applies to enrolled ChromeOS Devices only. See [Enable Verified Mode for ChromeOS Devices](https://support.google.com/chrome/a/answer/7156268).
Device Settings,Sign-in settings,Guest mode,Disable guest mode,
Device Settings,Sign-in settings,Sign-in restriction,Restrict sign-in to a list of users,Use your configured domains to restrict sign-in to your organisation (i.e. *@yourcompany.co.uk or *@sales.yourcompany.co.uk)
Device Settings,Sign-in settings,Auto-complete domain,Use the domain name set below for auto-complete at sign-in,Auto complete will enforce the use of the sign-in restriction. This will help when only certain users can access certain devices (such as a PAW) 
Device Settings,Sign-in settings,User data,Do not erase local user data,See README for details on User Data/Ephemeral mode
Device Settings,Sign-in settings,Enterprise remote access connections,Disable remote access connections from enterprise admins,See User and Browser/Remote access/Enterprise remote support connections. Enabling this setting will allow administrators to connect to a device when there is no user logged in. 
Device Settings,User and device reporting,Report device OS information,Enable all OS reporting,Reporting on all device data
Device Settings,User and device reporting,Report device hardware information,Enable all hardware information reporting,Reporting on all device data
Device Settings,User and device reporting,Report device telemetry,Enable all telemetry reporting,Reporting on all device data
Device Settings,User and device reporting,Report device user tracking,Enable tracking recent users,Reporting on all device data
Device Settings,User and device reporting,Device status report upload frequency,180,This is the Google default (3hrs) but can be set lower if needed
Device Settings,User and device reporting,Inactive device notifications,Enable Inactive device notifications,The sub-settings for this should be set to your organisations risk appetite on devices that have not connected
Device Settings,User and device reporting,Metrics reporting,Never send metrics to Google,Do not pass data back to Google which may expose URLs or other data captured in Crash Logs generated.
Device Settings,User and device reporting,Device system log upload,Enable device system log upload,Enables logging of system logs for administrators to monitor. See (Remote log collection for ChromeOS devices)[https://support.google.com/chrome/a/answer/13739279]
Device Settings,User and device reporting,System-wide performance trace collection,Prevent users from collecting a system-wide performance trace,Remove users ability to generate a system log
Device Settings,Virtual machines,Linux virtual machines for unaffiliated users,Block usage for virtual machines needed to support Linux apps for unaffiliated user,Crostini is disabled by default in enterprise environments. When enabled it will allow a user access to an unmanaged Linux VM. See [ChromeOS](https://www.ncsc.gov.uk/collection/device-security-guidance/platform-guides/chrome-os) on NCSC Website under Crostini Apps. 
Device Settings,Virtual machines,Android apps from untrusted sources,Prevent users of this device from using ADB sideloading,This will prevent Android apps being sideloaded into the Android subsystem. See README for more details on Android Apps.
Device Settings,Other settings,Device network hostname template,${ASSET_ID},We recommend setting a unique identifier to allow administrators to identify devices in other areas of their network
Device Settings,Other settings,Data access protection for peripherals,Enable data access protection,Disabling or allowing the user to choose this setting can leave organisations at risk of attack by if introducing malicious hardware see (Using Peripherals Securely)[https://www.ncsc.gov.uk/collection/device-security-guidance/policies-and-settings/using-peripherals-securely]. Organisations should consider the risks before disabling this feature or allowing a user to override the default state.
Device Settings,Other settings,Bluetooth,Disable Bluetooth,Disable BT by default but consider enabling in trusted areas for known devices or users where needed for trusted peripherals
Device Settings,TPM Firmware Update,TPM Firmware Update,Allow users to perform TPM firmware updates, Users should follow the guidance on how to update their TPM and ensure that any local documents are backed up prior to updating their device.
Device Settings,Other settings,Redeem offers through Chrome OS registration,Prevent users from redeeming offers through Chrome OS registration
Device Settings,Other settings,Debug network packet captures,Do not allow user to perform network packet captures
Device Settings,Chrome management â€“ partner access,Allow EMM partners access to device management,Disable Chrome management - partner access,This setting should be disabled unless you have a configured EMM Console. See [Google Support on EMM for ChromeOS](https://support.google.com/chrome/a/answer/7532316) 
Managed guest session settings,General,Managed guest session,Do not allow managed guest sessions,This will disable managed guest sessions on devices.